Date,Open,High,Low,Close,Adj Close,Volume
17/10/2019,37.119999,38.200001,37.029999,38.009998,36.427704,3301172
18/10/2019,38.099998,38.689999,37.950001,38.450001,36.849392,3008481
21/10/2019,38.43,38.689999,37.759998,38.52,36.916477,553339
22/10/2019,38.689999,38.700001,37.860001,38.220001,36.628963,1048795
23/10/2019,38.119999,38.400002,37.709999,38.200001,36.609798,537675
24/10/2019,38.290001,40.16,38.099998,39.880001,38.219864,3063098
25/10/2019,39.880001,40.139999,38.59,40,38.334866,469910
28/10/2019,39.799999,41.959999,39.52,40.790001,39.09198,6223049
29/10/2019,40.849998,42.299999,40.689999,41.740002,40.002434,3564162
30/10/2019,41.799999,42.52,41.200001,41.919998,40.174938,1910953
31/10/2019,42.02,42.509998,41.919998,42.18,40.424114,1170484
01/11/2019,42.200001,43.27,42.080002,43.080002,41.286652,1811903
04/11/2019,43.360001,43.360001,42.169998,42.349998,40.587036,799734
05/11/2019,42.349998,42.84,41.700001,41.91,40.165356,1906038
06/11/2019,41.970001,42.740002,41.950001,42.610001,40.836216,1009696
07/11/2019,42.709999,44.02,42.669998,43.580002,41.765839,734025
08/11/2019,43.529999,43.75,41.419998,41.700001,39.9641,2541907
11/11/2019,41.799999,42.349998,41.799999,42.029999,40.280357,890572
12/11/2019,41.720001,42.709999,41.02,41.619999,39.887428,865251
13/11/2019,41.619999,42.330002,41.25,41.790001,40.05035,374748
14/11/2019,41.790001,42.459999,41.669998,42.200001,40.443283,430091
15/11/2019,42.290001,42.5,41.529999,41.630001,39.897011,352509
19/11/2019,41.790001,43.77,41.41,42.509998,40.740376,1633918
20/11/2019,42.669998,43.130001,42.25,42.98,41.190811,585840
21/11/2019,42.91,43.77,42.240002,42.639999,40.864967,663753
22/11/2019,42.630001,42.799999,41.66,41.939999,40.194107,1078490
25/11/2019,42.029999,44.07,42.029999,43.419998,41.612495,2422996
26/11/2019,43.419998,43.799999,42.349998,42.599998,40.82663,504007
27/11/2019,42.700001,43.400002,42.009998,42.299999,40.53912,1413114
28/11/2019,42.360001,43.41,41.869999,42.029999,40.280357,183904
29/11/2019,42,43.18,41.93,42.529999,40.759544,270331
02/12/2019,42.580002,43,41.650002,42.029999,40.280357,422376
03/12/2019,41.700001,42.799999,41.41,42.490002,40.721214,238879
04/12/2019,42.59,42.950001,42.16,42.32,40.558289,647049
05/12/2019,42.419998,43.43,41.419998,41.990002,40.242027,1799742
06/12/2019,42.09,42.09,40.669998,41.099998,39.389072,2172037
09/12/2019,40.82,41.98,40.720001,41.459999,39.734089,957228
10/12/2019,41.5,43.360001,41.5,42.490002,40.721214,1138379
11/12/2019,42.59,43.150002,42.080002,42.529999,40.759544,394836
13/12/2019,42.43,42.43,41.560001,41.939999,40.194107,1367292
16/12/2019,42,42.529999,41.060001,41.98,40.232441,1209267
17/12/2019,42.029999,43.529999,41.73,42.990002,41.200397,984272
18/12/2019,43.009998,43.27,42.41,42.73,40.951221,4309828
19/12/2019,42.93,45.32,42.689999,44.470001,42.61879,649655
20/12/2019,44.52,44.990002,43.040001,43.150002,41.353737,1589822
23/12/2019,43.16,43.299999,42.5,42.669998,40.893715,257116
24/12/2019,42.650002,42.849998,42.5,42.560001,40.7883,66313
26/12/2019,42.459999,43.130001,42.060001,42.57,40.797882,329362
27/12/2019,42.669998,43.139999,41.66,42.119999,40.366611,416719
30/12/2019,42.310001,42.34,41.75,41.950001,40.20369,356879
31/12/2019,41.950001,41.950001,41.950001,41.950001,40.20369,0
02/01/2020,41.529999,43.369999,41.529999,42.84,41.056641,237146
03/01/2020,42.740002,42.740002,41.439999,41.939999,40.194107,401382
06/01/2020,42.040001,42.34,41.52,41.740002,40.002434,535050
07/01/2020,41.709999,42.34,41.599998,42.040001,40.289944,439525
08/01/2020,42,42.580002,41.779999,42.16,40.404949,722397
09/01/2020,42.18,42.68,41.799999,42.099998,40.347446,555077
10/01/2020,42.099998,42.599998,41.82,41.970001,40.222858,440732
13/01/2020,42,42.490002,41.869999,41.950001,40.20369,541275
14/01/2020,42,43,41.830002,42.880001,41.094978,1986971
15/01/2020,42.779999,42.970001,41.75,41.959999,40.213272,793022
16/01/2020,42.060001,43,42.060001,42.529999,40.759544,441743
17/01/2020,42.549999,43.139999,42.290001,43,41.20998,1012124
20/01/2020,43.099998,43.099998,42.810001,42.93,41.142895,251140
21/01/2020,42.849998,43.290001,42.310001,43.029999,41.238731,817594
22/01/2020,43.040001,43.450001,42.810001,43.240002,41.439991,413138
23/01/2020,43.310001,44,42.650002,43.470001,41.660416,346670
24/01/2020,43.5,44.200001,42.709999,43,41.20998,647142
27/01/2020,42.310001,42.889999,41.48,42.27,40.510368,567028
28/01/2020,42.150002,42.790001,41.549999,42.52,40.749962,148349
29/01/2020,42.400002,42.450001,41.830002,42.389999,40.625374,1343237
30/01/2020,42.299999,43.299999,41.310001,43.18,41.382488,683673
31/01/2020,42.669998,44,41.849998,43.439999,41.631664,512499
04/02/2020,43.52,43.75,43,43.349998,41.54541,1033550
05/02/2020,43.459999,43.610001,41.91,42.84,41.056641,761030
06/02/2020,42.849998,44,42.110001,43.27,41.468742,1134663
07/02/2020,43.369999,43.369999,42.220001,43.009998,41.219563,837008
10/02/2020,42.880001,43.950001,42.400002,43.639999,41.823338,409273
11/02/2020,43.740002,45.700001,42.599998,43,41.20998,719078
12/02/2020,43.060001,43.619999,42.580002,43.139999,41.344151,2067318
13/02/2020,42.799999,43.849998,42.25,43.630001,41.813755,158561
14/02/2020,43.73,44.080002,43.310001,43.849998,42.024593,342043
17/02/2020,43.900002,44.900002,43.900002,44.439999,42.590034,204875
18/02/2020,44.470001,44.470001,43.66,44.029999,42.197102,101044
19/02/2020,44.130001,45.700001,43.950001,44.84,42.973385,1979537
20/02/2020,44.93,45.700001,44.310001,45,43.126724,2366468
21/02/2020,45.110001,46.099998,44.799999,45.77,43.86467,783120
24/02/2020,45.27,46.34,44.34,45.610001,43.71133,4572573
25/02/2020,45.73,46.900002,45.02,45.360001,43.471737,908150
26/02/2020,45.400002,46.610001,43.529999,43.790001,41.967094,1476074
27/02/2020,43.540001,43.540001,41.310001,42.790001,41.008724,1715828
28/02/2020,42.040001,42.040001,40.650002,41.580002,39.849094,830021
02/03/2020,41.77,43.080002,41.509998,42.810001,41.027893,910891
03/03/2020,43,44.66,42.700001,43.34,41.535828,1273993
04/03/2020,43.34,44.049999,42.709999,43.369999,41.564575,900695
05/03/2020,43.25,44.189999,40.75,41.73,39.992847,2746677
06/03/2020,41.73,41.919998,40.52,41.349998,39.628666,964005
09/03/2020,39.400002,41.09,38.59,39.700001,38.047356,1083694
10/03/2020,40.630001,42.5,40.16,41.389999,39.667,1268932
11/03/2020,41.07,41.299999,40,40.169998,38.497787,2017723
12/03/2020,41.990002,41.990002,35.41,37.889999,36.312702,1502297
13/03/2020,38.02,41.990002,37.200001,39.34,37.702339,1135532
17/03/2020,38.5,41.689999,36.200001,39.869999,38.210278,1446291
18/03/2020,39.52,43.27,35.580002,36.43,34.913479,1275905
19/03/2020,36.5,37.5,31.02,37.259998,35.708927,1390077
20/03/2020,37.049999,37.150002,33.799999,34.060001,32.642139,2176814
23/03/2020,34,34.130001,32.16,32.5,31.147078,629918
24/03/2020,33.740002,34.849998,28.27,28.690001,27.495684,1761027
25/03/2020,29.1,36.27,29.1,34.880001,33.428005,2342026
26/03/2020,35.060001,39.610001,33,38.130001,36.542713,2044280
27/03/2020,37.380001,37.799999,35.84,36.299999,34.788891,1042006
30/03/2020,37.080002,37.080002,34.630001,36.130001,34.625969,205689
31/03/2020,36.950001,38,35.299999,36.240002,34.731388,1099808
01/04/2020,35.490002,35.490002,33,33.360001,31.971279,733828
02/04/2020,33.459999,36.990002,33.459999,33.810001,32.402546,464723
03/04/2020,34.23,34.970001,32.720001,33.599998,32.201286,1357892
06/04/2020,34.5,39.900002,34.5,38.450001,36.849392,332841
07/04/2020,38.950001,39.369999,34.93,36.139999,34.635551,758080
08/04/2020,36.380001,38.310001,35.209999,37.77,36.197697,606873
13/04/2020,37.75,37.75,36.02,36.669998,35.143486,198078
14/04/2020,37.18,37.860001,36.790001,37.400002,35.843102,1439720
15/04/2020,37.200001,37.880001,36.310001,36.759998,35.22974,2362102
16/04/2020,37.240002,38.990002,37,37.900002,36.322285,936178
17/04/2020,38.59,39,37.919998,38.290001,36.696053,510765
20/04/2020,38.189999,39.599998,37.5,38.66,37.050648,930195
21/04/2020,38.419998,38.599998,38.009998,38.360001,36.763138,3528040
22/04/2020,39.310001,43.110001,39.310001,41.09,39.37949,2635745
23/04/2020,41.400002,42.200001,40.75,41.439999,39.71492,793003
24/04/2020,41.700001,42.5,39.509998,42,40.25161,778478
27/04/2020,42.209999,43.34,42.209999,42.5,40.730793,863958
28/04/2020,42.950001,43.200001,42.450001,43.009998,41.219563,1418754
29/04/2020,43.200001,46.57,42.98,44.77,42.9063,1759289
30/04/2020,44.669998,44.669998,42.040001,43.779999,41.957508,630111
04/05/2020,43.5,43.5,41.900002,42.5,40.730793,686773
05/05/2020,42.75,43.279999,41.900002,42.970001,41.181229,292423
06/05/2020,42.869999,46.43,42.869999,45.200001,43.318398,318136
07/05/2020,45.169998,45.509998,43.52,44.040001,42.206688,648501
08/05/2020,44.23,45.5,43.25,43.849998,42.024593,4265835
11/05/2020,43.779999,44,43.380001,43.709999,41.890423,1897057
12/05/2020,43.810001,43.810001,43.299999,43.48,41.669998,1137370
13/05/2020,41.5,42.889999,40.450001,40.939999,40.939999,1563140
14/05/2020,40.84,41.360001,40.139999,41.02,41.02,650229
15/05/2020,40.77,40.84,39.580002,40.139999,40.139999,908389
18/05/2020,40.5,41.720001,40.5,41.240002,41.240002,1061081
19/05/2020,41.34,42.009998,41,41.330002,41.330002,604270
20/05/2020,41.400002,42.48,40.130001,41.549999,41.549999,347876
21/05/2020,41.18,41.5,41.02,41.490002,41.490002,450571
22/05/2020,41.5,42.73,40.529999,42.200001,42.200001,624082
25/05/2020,42.599998,43.450001,42.599998,43.419998,43.419998,184816
26/05/2020,43.52,45.439999,41.5,42.709999,42.709999,2135200
27/05/2020,42.73,43.029999,42.41,42.759998,42.759998,1770629
28/05/2020,42.66,43.23,42.259998,42.669998,42.669998,381586
29/05/2020,42.57,42.75,41.09,42.490002,42.490002,1775612
01/06/2020,42.66,43.900002,42.5,42.919998,42.919998,814174
02/06/2020,42.919998,44.790001,42.82,43.389999,43.389999,870048
03/06/2020,43.490002,44.799999,43.400002,43.77,43.77,3667867
04/06/2020,43.849998,44.200001,42.52,42.610001,42.610001,1438979
05/06/2020,43.52,45.82,43.5,43.549999,43.549999,1273130
08/06/2020,43.669998,45.849998,43.669998,45.040001,45.040001,295628
09/06/2020,45.040001,45.040001,42.52,42.84,42.84,1086176
10/06/2020,43.150002,44.450001,43.040001,43.77,43.77,554775
11/06/2020,43.200001,44.119999,42.509998,42.970001,42.970001,1447359
12/06/2020,43.07,43.75,41.82,43.27,43.27,824850
15/06/2020,42.75,44.189999,42.029999,43.990002,43.990002,521996
16/06/2020,44.32,45.150002,42.799999,43.220001,43.220001,436332
17/06/2020,43.490002,44.02,42.799999,43.48,43.48,220778
18/06/2020,43.630001,43.869999,42.41,42.689999,42.689999,356657
19/06/2020,42.830002,44.970001,42.5,42.720001,42.720001,3734972
22/06/2020,42.25,43.900002,42.25,43.709999,43.709999,395640
23/06/2020,43.709999,44.98,43.25,43.98,43.98,698051
24/06/2020,43.610001,44.07,42.889999,43.5,43.5,591978
25/06/2020,43.599998,43.880001,43.189999,43.709999,43.709999,469979
26/06/2020,43.959999,44.580002,42.490002,42.939999,42.939999,700533
29/06/2020,42.91,43.360001,42.130001,42.619999,42.619999,714828
30/06/2020,42.669998,43.549999,42.52,43.02,43.02,4227823
01/07/2020,42.919998,43.779999,42.700001,43.110001,43.110001,811241
02/07/2020,43.209999,44.970001,43.049999,44.209999,44.209999,943679
03/07/2020,44.639999,44.869999,43.02,44.41,44.41,44057
06/07/2020,44.509998,44.849998,43.900002,44.48,44.48,5631941
07/07/2020,44.43,45.150002,44.43,44.75,44.75,903982
08/07/2020,45.150002,45.150002,42.82,43.34,43.34,740478
09/07/2020,43.25,43.34,42.619999,42.970001,42.970001,935485
10/07/2020,43.07,43.07,42.110001,42.389999,42.389999,1088569
13/07/2020,42.610001,43.98,42.27,42.529999,42.529999,450811
14/07/2020,42.77,44.450001,42.279999,43.560001,43.560001,1567893
15/07/2020,44,44.099998,43.040001,43.830002,43.830002,628536
16/07/2020,43.84,43.84,42.27,42.450001,42.450001,825372
17/07/2020,42.599998,42.950001,42.299999,42.52,42.52,655174
20/07/2020,42.52,43.110001,42.5,42.889999,42.889999,482191
21/07/2020,42.990002,46.869999,42.709999,44.810001,44.810001,1526904
22/07/2020,44.790001,46.5,44.25,45.060001,45.060001,1537948
23/07/2020,45.16,45.610001,43.93,44.77,44.77,758031
24/07/2020,45,45.77,44.599998,45.200001,45.200001,1136633
27/07/2020,45.490002,45.549999,44.849998,45.209999,45.209999,463534
28/07/2020,45.599998,45.650002,43.720001,44.549999,44.549999,2260016
29/07/2020,44.549999,46.450001,44.25,44.799999,44.799999,632569
30/07/2020,45.080002,46.009998,44.25,45.02,45.02,1511025
31/07/2020,45.110001,45.810001,44.07,44.919998,44.919998,1223456
03/08/2020,45.610001,46.549999,45.419998,46.279999,46.279999,430165
04/08/2020,46.68,49.869999,46.68,48.459999,48.459999,1545730
05/08/2020,48.369999,50.43,48.369999,49.630001,49.630001,1647725
06/08/2020,49.790001,50,48.900002,49.75,49.75,1157971
07/08/2020,49.779999,52.130001,49.380001,50.610001,50.610001,1087546
10/08/2020,50.68,50.73,50.16,50.32,50.32,855187
11/08/2020,50.419998,51.040001,50.419998,50.82,50.82,1740610
12/08/2020,51,51,48.02,48.259998,48.259998,1026913
13/08/2020,48.279999,48.68,46.709999,46.970001,46.970001,919666
14/08/2020,47,47.970001,46.77,47.119999,47.119999,858911
17/08/2020,47.060001,47.450001,45.509998,45.66,45.66,1018119
18/08/2020,45.759998,46,44.790001,45.049999,45.049999,862158
19/08/2020,45,47.48,45,47.330002,47.330002,1326381
20/08/2020,47.380001,47.380001,46.200001,47.169998,47.169998,621451
21/08/2020,47.110001,47.110001,46.650002,46.849998,46.849998,893646
24/08/2020,47.099998,47.099998,45.25,45.34,45.34,359566
25/08/2020,45.540001,46.529999,45.259998,46.290001,46.290001,988932
26/08/2020,46.400002,46.540001,45.380001,45.990002,45.990002,1192453
27/08/2020,46.060001,46.740002,45.599998,45.709999,45.709999,1253297
28/08/2020,45.77,46.75,45.560001,46.470001,46.470001,293346
31/08/2020,46.470001,46.48,45,46.099998,46.099998,1064708
01/09/2020,46.43,46.700001,45.330002,46.389999,46.389999,1325043
02/09/2020,46.830002,47.59,46,46.73,46.73,824606
03/09/2020,46.630001,46.630001,45.009998,46.27,46.27,877676
04/09/2020,46.27,46.27,45.040001,45.369999,45.369999,826158
07/09/2020,45.459999,45.459999,45.099998,45.259998,45.259998,27367
08/09/2020,45.48,46.560001,45.48,45.990002,45.990002,809689
09/09/2020,46.09,48.700001,45.580002,46.860001,46.860001,3794787
10/09/2020,47.119999,49,46.540001,47.830002,47.830002,1332493
11/09/2020,47.830002,47.98,46.169998,46.400002,46.400002,683033
14/09/2020,46.5,47.25,46.5,47.049999,47.049999,424427
15/09/2020,47.150002,47.599998,46.509998,47.02,47.02,1271668
17/09/2020,47.110001,47.720001,46.5,47.459999,47.459999,1150930
18/09/2020,47.560001,48.400002,46.830002,47.75,47.75,1685441
21/09/2020,47.849998,48,45,45.139999,45.139999,708553
22/09/2020,45.209999,45.720001,45.099998,45.59,45.59,800092
23/09/2020,45.490002,46.869999,45.310001,46.470001,46.470001,599287
24/09/2020,46.57,48.98,45.669998,47.389999,47.389999,656690
25/09/2020,47.290001,47.459999,46.310001,47.029999,47.029999,360218
28/09/2020,47.130001,48.630001,47.130001,47.98,47.98,7268611
29/09/2020,48.080002,49.700001,48.07,48.759998,48.759998,885681
30/09/2020,48.759998,50.59,48.27,50.110001,50.110001,1139258
01/10/2020,50.209999,52.169998,50.209999,51.950001,51.950001,1833778
02/10/2020,51.41,51.68,49.360001,49.84,49.84,624429
05/10/2020,50.130001,50.470001,47.75,48.290001,48.290001,336910
06/10/2020,48.32,51.799999,48.32,50.98,50.98,1020552
07/10/2020,51.080002,51.689999,49.23,49.93,49.93,541512
08/10/2020,50.060001,50.060001,48.599998,49.16,49.16,597002
09/10/2020,49.169998,50.099998,49.16,49.16,49.16,407155
12/10/2020,49.549999,49.900002,49.43,49.740002,49.740002,474161
13/10/2020,49.709999,50.18,49.419998,49.759998,49.759998,645210
14/10/2020,49.880001,50,47,47.389999,47.389999,734803
15/10/2020,47.189999,48.169998,45.5,45.73,45.73,735997
16/10/2020,45.5,46.299999,45.5,46.099998,46.099998,1767064
